Start time	End time	Start DateTime	End DateTime	Scattering conc (#/cm3-STP)	Incandescent Conc (#/cm3-STP)	Scattering mass conc (ng/m3-STP)	Total scattering mass conc (ng/m3-STP)	Incandescent mass conc (ng/m3-STP)	Total incandescent mass conc (ng/m3-STP)
46190	46200	3624698990	3624699000	35.002399	14.834165	612.21307	705.86316	20.510416	20.510416
46200	46210	3624699000	3624699010	39.491024	14.034322	658.01239	799.21771	31.37393	31.37393
46210	46220	3624699010	3624699020	39.721931	14.462057	693.5755	816.17072	41.081482	41.081482
46220	46230	3624699020	3624699030	39.765404	17.02006	692.46143	840.13263	33.522465	33.522465
46230	46240	3624699030	3624699040	43.511364	16.204769	761.80682	965.47699	38.274933	38.274933
46240	46250	3624699040	3624699050	42.07304	15.203843	746.71844	903.71545	36.942413	36.942413
46250	46260	3624699050	3624699060	45.177418	14.447402	779.06641	898.2829	33.195747	33.195747
46260	46270	3624699060	3624699070	44.77961	16.212635	760.57367	839.23682	42.511501	50.169277
46270	46280	3624699070	3624699080	46.76297	18.518448	806.91956	925.38885	42.062225	42.062225
46280	46290	3624699080	3624699090	52.675331	18.779222	914.24933	1135.5472	45.85828	45.85828
46290	46300	3624699090	3624699100	46.727982	17.381718	817.53998	956.07751	45.553616	45.553616
46300	46310	3624699100	3624699110	48.575336	18.541988	839.31335	979.12622	39.792076	39.792076
46310	46320	3624699110	3624699120	57.79491	20.602095	993.00732	1161.923	49.213165	49.213165
46320	46330	3624699120	3624699130	63.413441	21.28046	1096.8685	1266.5804	51.995998	51.995998
46330	46340	3624699130	3624699140	55.141846	19.951145	942.44061	1115.4316	48.97105	48.97105
46340	46350	3624699140	3624699150	43.164421	15.271049	778.4231	879.92395	28.787613	28.787613
46350	46360	3624699150	3624699160	43.383377	14.225884	748.2334	831.52502	37.481018	37.481018
46360	46370	3624699160	3624699170	45.608677	17.441797	796.02448	941.73206	50.32169	57.417133
46370	46380	3624699170	3624699180	54.220554	16.644268	927.58832	1093.312	39.359241	47.018192
46380	46390	3624699180	3624699190	53.216297	17.608906	930.52582	1039.8801	38.905258	38.905258
46390	46400	3624699190	3624699200	54.150421	16.99754	941.90375	1147.9386	42.365269	42.365269
46400	46410	3624699200	3624699210	48.755329	16.978693	861.91046	1038.3781	39.324345	54.62775
46410	46420	3624699210	3624699220	49.030491	18.055672	830.59961	950.79993	37.861797	45.31768
46420	46430	3624699220	3624699230	49.026802	20.716648	835.83752	953.10449	40.74181	40.74181
46430	46440	3624699230	3624699240	54.110756	19.994917	930.61511	1138.4492	47.245125	47.245125
46440	46450	3624699240	3624699250	48.597469	20.242445	844.07367	991.83826	43.976624	43.976624
46450	46460	3624699250	3624699260	51.379494	19.165058	886.58759	1059.3647	43.130283	43.130283
46460	46470	3624699260	3624699270	57.652279	19.853249	1006.8563	1163.5422	52.498135	52.498135
46470	46480	3624699270	3624699280	58.308083	20.240456	1005.8418	1172.8112	54.241352	54.241352
46480	46490	3624699280	3624699290	60.75671	21.342741	1060.7489	1194.366	52.334476	67.639267
46490	46500	3624699290	3624699300	53.22295	19.002623	926.59485	1067.774	53.652714	53.652714
46500	46510	3624699300	3624699310	57.664093	21.297947	1011.7475	1180.8369	54.717125	54.717125
46510	46520	3624699310	3624699320	50.12941	20.712383	909.34692	1002.2285	50.084606	50.084606
46520	46530	3624699320	3624699330	46.862709	20.451307	823.22327	909.41748	41.04155	41.04155
46530	46540	3624699330	3624699340	49.243683	17.959919	878.90991	1085.7538	45.342865	45.342865
46540	46550	3624699340	3624699350	53.72578	18.543558	938.18829	1036.2286	48.684372	48.684372
46550	46560	3624699350	3624699360	61.053146	22.784616	1045.0297	1185.2478	68.168518	68.168518
46560	46570	3624699360	3624699370	50.95369	18.45927	900.54938	994.13538	50.865982	50.865982
46570	46580	3624699370	3624699380	46.991238	17.905083	824.85632	1014.67	38.383305	38.383305
46580	46590	3624699380	3624699390	54.735813	21.733929	942.58112	1137.6979	63.87529	63.87529
46590	46600	3624699390	3624699400	57.920788	20.182142	1002.3177	1173.5093	45.146118	45.146118
46600	46610	3624699400	3624699410	52.630699	17.71151	916.07605	1043.5437	42.137733	42.137733
46610	46620	3624699410	3624699420	48.11491	16.455221	847.81744	976.89221	47.220943	54.900597
46620	46630	3624699420	3624699430	45.039856	16.161131	784.4679	943.138	42.318932	57.696854
46630	46640	3624699430	3624699440	49.364353	14.645279	850.80511	1014.8509	33.660099	33.660099
46640	46650	3624699440	3624699450	41.18763	15.215563	712.47308	799.16583	38.353455	38.353455
46650	46660	3624699450	3624699460	35.865429	13.971517	678.93939	793.63641	39.439964	39.439964
46660	46670	3624699460	3624699470	39.830727	11.949218	701.83441	884.21161	28.809937	36.482456
46670	46680	3624699470	3624699480	39.865417	13.601142	683.97479	789.3172	34.263592	34.263592
46680	46690	3624699480	3624699490	40.339458	13.96666	701.42987	860.23712	28.2952	28.2952
46690	46700	3624699490	3624699500	44.123909	13.327062	770.88336	937.3089	27.374588	27.374588
46700	46710	3624699500	3624699510	42.900242	14.665078	736.28033	829.73755	26.987476	26.987476
46710	46720	3624699510	3624699520	41.493088	11.827287	694.03058	832.06439	21.050499	21.050499
46720	46730	3624699520	3624699530	43.000435	12.743766	744.28925	819.81378	30.499329	30.499329
46730	46740	3624699530	3624699540	40.988449	9.9342241	701.35938	792.42059	23.955263	23.955263
46740	46750	3624699540	3624699550	40.41729	12.718182	674.2287	839.53186	27.004593	27.004593
46750	46760	3624699550	3624699560	28.84753	7.5050483	522.08734	595.05432	18.344845	18.344845
46760	46770	3624699560	3624699570	30.854137	8.8378134	560.34265	637.62531	18.918922	18.918922
